Exercício,Vídeo
Peitorais Unilateral,https://youtube.com/shorts/KYmbJJKl-hU?feature=share
Peitorais Bilateral na Barra,https://youtube.com/shorts/yYeof5A14io?feature=share
Ombro - Cápsula posterior do ombro e Manguito Internos com bastão,https://youtube.com/shorts/ClE4ProhCt4?feature=share
Ombro - Mobilidade com bastão - Alongamento,https://youtube.com/shorts/LWVQRP5Eit0
Linha Frontal Abdome,https://youtube.com/shorts/whrA8mNESO8?feature=share
Ombro mobilidade no solo,https://youtube.com/shorts/JyY2BFbEiDY?feature=share
Linha Lateral,https://youtube.com/shorts/BqbTKyB6Vb4?feature=share
Dorsal e Redondo Maior,https://youtube.com/shorts/fFE-HZxpp-A?feature=share
Linha anterior - Mobilidade de Quadril e tronco,https://youtube.com/shorts/v5jWGwzOMkU?feature=share
Quadrado Lombar e lombares - Inclinação lateral sentado com pernas afastadas,https://youtube.com/shorts/928U9l2Be4A?feature=share
Lombar Paravertebrais e Glúteos,https://youtube.com/shorts/9X9lcgCnL48?feature=share
Mobilidade torácica no solo,https://youtube.com/shorts/QwPFcFC3k78?feature=share
Quadríceps - Puxar o pé em pé,https://youtube.com/shorts/3lUvx6DZaiI?feature=share
Iliopsoas,https://youtube.com/shorts/0QjJPTPqRYU?feature=share
Reto Femoral e Iliopsoas,https://youtube.com/shorts/ZuRnJ4gcfPA?feature=share
Mobilidade de Tornozelo e Panturrilha,https://youtube.com/shorts/Hsmr6hTD7Mg?feature=share
Adutores Dinâmico,https://youtube.com/shorts/U1wfphAn9iE?feature=share
Panturrilha em pé,https://youtube.com/shorts/fop16jBpPq4?feature=share
Panturrilha inclinado na parede,https://youtube.com/shorts/Et0g-q7Vay4?feature=share
Isquiotibiais em pé,https://youtube.com/shorts/KRNaHXlRXMQ?feature=share
Piriforme no espaldar - Alongamento,https://youtube.com/shorts/aG9HXXZEAao?feature=share
Adutor - Borboleta sentado,https://youtube.com/shorts/Q-_2uuUC2RA?feature=share
Isquiotibiais deitado unilateral com elástico,https://youtube.com/shorts/sk_33pZobvw?feature=share
Glúteos - Puxar a coxa contra o peito,https://youtube.com/shorts/K3MU9iv26gU?feature=share
Quadríceps - Miofascial,https://youtube.com/shorts/KP20qZ3M9so?feature=share
Banda Iliotibial - Miofascial,https://youtube.com/shorts/P4lxM7k3jw0?feature=share
Adutor - Miofascial,https://youtube.com/shorts/Jc3iKR014rY?feature=share
Posterior de coxa - Miofascial,https://youtube.com/shorts/SgbYWohQZJ0?feature=share
Glúteos - Miofascial,https://youtube.com/shorts/NK9yX4yeh0A?feature=share
Panturrilhas - Miofascial,https://youtube.com/shorts/2Fo22fk09VI?feature=share
Ombro Flex/Ext no banco com halter dinâmico - Mobilidade,https://youtube.com/shorts/p3XGFsQiOrU?feature=share
Redondo maior Peitoral e Dorsal Cadeirinha,https://youtube.com/shorts/ZFBNah3YjsQ?feature=share
Mobilidade torácica - rotação torácica com braço estendido,https://youtube.com/shorts/69Cln1fz7WI?feature=share
Paravertebrais e Quadrado Lombar,https://youtube.com/shorts/AM5Ubl2bCog?feature=share
Lombar - Flexão de tronco no solo pés no solo,https://youtube.com/shorts/3kvjK2-yzRg?feature=share
Panturrilha no degrau - Alongamento,https://youtube.com/shorts/jNvU7t3hv_A?feature=share
Iliopsoas e reto femoral deitado de lado - Alongamento,https://youtube.com/shorts/q9IrfTi0O0k?feature=share
Adutores Borboleta Deitado,https://youtube.com/shorts/ErA4_m18JiI?feature=share
"Adutor, Glúteo, Panturrilha - Agacho profundo",https://youtube.com/shorts/NIT49gxJcoQ?feature=share
Posterior e Adutor - Alcançar o pé em pé,https://youtube.com/shorts/mAmI0GZnkYI?feature=share
Rotadores laterais - Glúteo e Piriforme,https://youtube.com/shorts/LrDkezKcoC0?feature=share
Isquiotibiais Sentado com Elástico,https://youtube.com/shorts/PN5iehjL7p0?feature=share
Glúteo - Rotação oposta de quadril e tronco,https://youtube.com/shorts/PiiXHq9cn2Y?feature=share
Passo lateral com elástico no pé,https://youtube.com/shorts/cmax4KO3FO4?feature=share
Abdução de quadril por trás na polia,https://youtube.com/shorts/enlapE0Mj5Y?feature=share
Coice na polia,https://youtube.com/shorts/iELNdw6ATmg?feature=share
Elevação pélvica com barra e elástico,https://youtube.com/shorts/Pixmi8wjc34?feature=share
Cadeira flexora unilateral,https://youtube.com/shorts/lSv7UMZrveM?feature=share
Mesa flexora,https://youtube.com/shorts/gPsy2sk_9j8?feature=share
Stiff com halteres,https://youtube.com/shorts/U_0HMpyCPQE?feature=share
Panturrilha em pé na máquina,https://youtube.com/shorts/wuhvUEmiWH8?feature=share
Supino reto com halteres,https://youtube.com/shorts/SmQ_eMsC33A?feature=share
Peck deck,https://youtube.com/shorts/KCD9K319huo?feature=share
Crucifixo reto com halteres,https://youtube.com/shorts/Vr_gb3xFJsY?feature=share
Supino inclinado no smith,https://youtube.com/shorts/1FuL4fMj7dY?feature=share
Elevação lateral com halteres PE,https://youtube.com/shorts/j0UvNxWUGDI?feature=share
Elevação lateral de lado no banco inclinado,https://youtube.com/shorts/gb5EiXw185k?feature=share
Tríceps pulley corda de costas,https://youtube.com/shorts/ps9UG2Momkg?feature=share
Tríceps testa na polia corda,https://youtube.com/shorts/jA4Bdv7t5ww?feature=share
Tríceps francês com um halter,https://youtube.com/shorts/J6yXF22pXMc?feature=share
Abdominal crunch com pernas elevadas,https://youtube.com/shorts/QWTYIJQ7tDc?feature=share
Flexão de quadril em pé com elástico no pé,https://youtube.com/shorts/uzYAqYOCTBQ?feature=share
Cadeira extensora quadril 40°,https://youtube.com/shorts/UE19-gI7CxQ?feature=share
Leg press 45°,https://youtube.com/shorts/0r1x4-G13n4?feature=share
Agachamento no smith,https://youtube.com/shorts/L6FsmaXClPQ?feature=share
Afundo no smith,https://youtube.com/shorts/rIbBowCr_tk?feature=share
Cadeira adutora,https://youtube.com/shorts/xNFVDu1OOd4?feature=share
Panturrilha no leg press,https://youtube.com/shorts/RInqfn-g7NI?feature=share
Puxada frente pegada supinada,https://youtube.com/shorts/NPeHk9Rie-k?feature=share
Puxada frente,https://youtube.com/shorts/8DbR1K04Tcc?feature=share
Remada unilateral com halteres apoio bilateral,https://youtube.com/shorts/t-2Gmk2gf24?feature=share
Remada alta em pé na polia alta,https://youtube.com/shorts/_Z6lA9LblAU?feature=share
Lombar no banco romano,https://youtube.com/shorts/M86cUuircDU?feature=share
Rosca direta com halteres no banco inclinado,https://youtube.com/shorts/DLOxGX6CT4k?feature=share
Rosca unilateral na polia alta,https://youtube.com/shorts/ndHTwteSyuw?feature=share
Rosca direta barra W,https://youtube.com/shorts/vkZmFzAmrKg?feature=share
Prancha contralateral,https://youtube.com/shorts/3sbeGx0OYMg?feature=share
Cadeira flexora,https://youtube.com/shorts/ZRmtLcwcNm4?feature=share
Flexão de joelho unilateral na máquina,https://youtube.com/shorts/mmlt1BpwJRY?feature=share
Agachamento hack A. invertido com elástico,https://youtube.com/shorts/mXjxHYn9L8g?feature=share
Cadeira abdutora 90°,https://youtube.com/shorts/IoKhjpaazU4?feature=share
Abdução de Quadril por trás na Polia,https://youtube.com/shorts/enlapE0Mj5Y?feature=share
Panturrilha unilateral em pé,https://youtube.com/shorts/1xbcNlXvlzg?feature=share
Abdominal infra com apoio,https://youtube.com/shorts/yBVHor8pp9M?feature=share
Remada alta na polia pegada pronada,https://youtube.com/shorts/80bC4LsG4rc?feature=share
Remada curvado 45° pegada supinada,https://youtube.com/shorts/U7mCdjUGtkY?feature=share
Rosca concentrada,https://youtube.com/shorts/YlG_msu4x2c?feature=share
Rosca direta na polia com barra,https://youtube.com/shorts/4dpX6Enml3M?feature=share
Prancha com as mãos na bola,https://youtube.com/shorts/zZEyV4fxxsk?feature=share
Flexão de quadril em pé com caneleira,https://youtube.com/shorts/oDTo5x0-cUw?feature=share
Cadeira extensora,https://youtube.com/shorts/YOJnqRyt1OU?feature=share
Agachamento taça,https://youtube.com/shorts/SZOL3aC0b9M?feature=share
Afundo completo + parcial embaixo,https://youtube.com/shorts/drqkMF4A-Ok?feature=share
Supino reto com barra,https://youtube.com/shorts/ENelUG-YPzE?feature=share
Crucifixo inclinado 45° com halteres,https://youtube.com/shorts/t8jdx6_6ge8?feature=share
Supino na polia média,https://youtube.com/shorts/RrU7hgH9nMU?feature=share
Peck deck aberto / crucifixo,https://youtube.com/shorts/T_ElIOHHYFo?feature=share
Elevação frontal com halteres alternado,https://youtube.com/shorts/eeFLIOQjLuU?feature=share
Tríceps testa com barra W,https://youtube.com/shorts/Hiolc8ceqQ8?feature=share
Tríceps francês com corda na polia,https://youtube.com/shorts/QjM7oBljoKU?feature=share
Tríceps pulley invertido,https://youtube.com/shorts/UnklnssKI0s?feature=share
Cadeira abdutora deitada,https://youtube.com/shorts/jJsOYyjuBJ4?feature=share
Agachamento hack angular elástico unilateral,https://youtube.com/shorts/lP2djAIz7UU?feature=share
Passo lateral com elástico na coxa,https://youtube.com/shorts/Bf0n52AXrIQ?feature=share
Passada com foco em glúteos,https://youtube.com/shorts/inlcyiYWTSk?feature=share
Puxada frente com triângulo,https://youtube.com/shorts/yIQZj8F417s?feature=share
Puxada frente barra romana,https://youtube.com/shorts/xAf8ich8eb4?feature=share
Remada alta unilateral em pé na polia alta,https://youtube.com/shorts/6v9T1pV3xaM?feature=share
Tríceps testa no banco com halteres bilateral,https://youtube.com/shorts/-sj3dZ5yzIk?feature=share
